5,4.76,-0.21
4.999,4.80,-0.20
4.998,4.81,-0.19
4.997,4.92,-0.18
4.996,4.80,-0.19
4.995,4.76,-0.19
4.994,4.78,-0.21
4.993,4.77,-0.24
4.992,4.63,-0.28
4.991,4.60,-0.31
4.99,4.30,-0.36
4.989,4.32,-0.34
4.988,4.30,-0.32
4.987,4.29,-0.30
4.986,4.27,-0.28
4.985,4.27,-0.26
4.984,4.27,-0.25
4.983,4.26,-0.25
4.982,4.29,-0.24
4.981,4.32,-0.23
4.98,4.33,-0.23
4.979,4.30,-0.26
4.978,4.08,-0.32
4.977,4.35,-0.33
4.976,4.36,-0.36
4.975,4.36,-0.39
4.974,4.35,-0.36
4.973,4.35,-0.33
4.972,4.32,-0.30
4.971,3.88,-0.31
4.97,4.24,-0.24
4.969,4.09,-0.28
4.968,4.12,-0.30
4.967,4.14,-0.33
4.966,4.16,-0.36
4.965,4.17,-0.38
4.964,4.23,-0.35
4.963,4.20,-0.32
4.962,4.22,-0.28
4.961,4.42,-0.23
4.96,4.15,-0.22
4.959,4.26,-0.25
4.958,4.27,-0.28
4.957,4.08,-0.33
4.956,4.07,-0.37
4.955,4.02,-0.41
4.954,3.95,-0.39
4.953,3.89,-0.36
4.952,3.86,-0.34
4.951,4.08,-0.29
4.95,3.79,-0.29
4.949,3.77,-0.26
4.948,3.77,-0.23
4.947,3.78,-0.19
4.946,3.78,-0.16
4.945,3.40,-0.17
4.944,3.75,-0.12
4.943,3.75,-0.12
4.942,3.79,-0.10
4.941,3.83,-0.09
4.94,3.81,-0.09
4.939,3.92,-0.10
4.938,3.93,-0.13
4.937,3.94,-0.15
4.936,3.94,-0.18
4.935,4.04,-0.19
4.934,3.66,-0.25
4.933,3.92,-0.24
4.932,3.88,-0.27
4.931,3.86,-0.29
4.93,3.90,-0.31
4.929,3.90,-0.31
4.928,3.51,-0.34
4.927,3.94,-0.30
4.926,3.95,-0.30
4.925,4.00,-0.30
4.924,3.80,-0.31
4.923,3.84,-0.29
4.922,3.80,-0.29
4.921,3.72,-0.28
4.92,3.57,-0.29
4.919,3.61,-0.28
4.918,3.21,-0.32
4.917,3.51,-0.29
4.916,3.46,-0.29
4.915,3.40,-0.29
4.914,3.38,-0.30
4.913,3.40,-0.31
4.912,3.36,-0.32
4.911,3.43,-0.32
4.91,3.47,-0.33
4.909,3.48,-0.31
4.908,3.42,-0.29
4.907,3.54,-0.26
4.906,3.56,-0.24
4.905,3.56,-0.22
4.904,3.54,-0.17
4.903,3.44,-0.13
4.902,3.40,-0.08
4.901,3.37,-0.03
4.9,3.30,0.01
4.899,3.36,0.02
