# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.853,-0.84,-0.84,-1.388465635,-39.57,-2.016426534,263.081,-0.2951014211,0.6006700599
0.854,-0.75,-0.75,-1.235729625,-36.5,-1.89779885,264.944,-0.2573490747,0.5733850613
0.855,-0.51,-0.51,-0.8330938842,-27.89,-1.534994891,267.809,-0.199806845,0.4802242625
0.856,-0.24,-0.24,-0.3882312192,-17.11,-1.011764478,271.513,-0.1263193493,0.3411270856
0.857,-0.07,-0.07,-0.1125338858,-9.22,-0.5746982424,282.515,0.08619135065,0.2303629441
0.858,-0.01,-0.01,-0.0160409642,-6.43,-0.4083276759,282.811,0.09179378232,0.05067692442
0.859,-0.02,-0.02,-0.0320936968,-6.87,-0.4349899143,281.672,0.07020355456,0.08797943218
0.86,-0.08,-0.08,-0.1286572288,-8.67,-0.5424040379,281.017,0.05774817838,0.2654609993
0.861,-0.18,-0.18,-0.2905379208,-12.23,-0.747146781,276.919,-0.02084396936,0.3783091407
0.862,-0.35,-0.35,-0.568435945,-17.92,-1.053949925,271.655,-0.1235220563,0.4827596361
0.863,-0.58,-0.58,-0.9498290888,-25.52,-1.426839268,263,-0.2967488861,0.5510765936
0.864,-0.86,-0.86,-1.422536423,-34.68,-1.824890619,253.075,-0.5025534602,0.611201118
0.865,-1.19,-1.19,-1.991500676,-45.49,-2.230528184,239.45,-0.7986292049,0.6574437774
0.866,-1.52,-1.52,-2.573280717,-56.12,-2.571250485,231.425,-0.981004177,0.7244077245
0.867,-1.74,-1.74,-2.968253959,-63.33,-2.774561551,227.42,-1.074400832,0.7711828965
0.868,-1.82,-1.82,-3.113292801,-65.81,-2.83996886,223.34,-1.171253242,0.7761457036
0.869,-1.81,-1.81,-3.095121756,-65.72,-2.837632888,219.371,-1.26718363,0.7540219502
0.87,-1.85,-1.85,-3.167876545,-67.09,-2.872893379,214.977,-1.375431864,0.7456765581
0.871,-2,-2,-3.442384,-72.01,-2.994522171,211.911,-1.452282851,0.7741252389
0.872,-2.21,-2.21,-3.831142892,-78.79,-3.150732189,212.408,-1.439750057,0.8345839689
0.873,-2.37,-2.37,-4.13082359,-84.05,-3.264287485,211.681,-1.458092687,0.8747333842
0.874,-2.42,-2.42,-4.225091649,-85.67,-3.298125237,208.253,-1.545440734,0.8723101272
0.875,-2.38,-2.38,-4.149653665,-84.64,-3.276668168,205.954,-1.604830249,0.850077847
0.876,-2.34,-2.34,-4.074403975,-83.44,-3.251416159,206.683,-1.585926689,0.8422814143
0.877,-2.35,-2.35,-4.093198745,-83.83,-3.259653779,206.349,-1.594579289,0.8432225414
0.878,-2.4,-2.4,-4.18734912,-85.33,-3.291063938,210.808,-1.480202407,0.8776179776
