# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.094,-1.22,-1.22,-2.043860193,-43.47,-2.159567178,238.5191848,-0.8194668134,0.686081528
0.095,-1.24,-1.24,-2.078825379,-43.95,-2.176621253,243.0130777,-0.7196063199,0.7177700394
0.096,-1.23,-1.23,-2.061336902,-43.69,-2.167398631,245.4643837,-0.6659105073,0.727536884
0.097,-1.16,-1.16,-1.939247075,-41.25,-2.079100039,243.6203339,-0.706254083,0.6962299908
0.098,-1.08,-1.08,-1.800421949,-38.58,-1.978758381,241.290828,-0.7576571172,0.6579490396
0.099,-1.07,-1.07,-1.783121766,-38.24,-1.96569415,242.8574549,-0.7230334967,0.6631842269
0.1,-1.07,-1.07,-1.783121766,-38.36,-1.970312553,245.578258,-0.663429144,0.6770298574
0.101,-1.07,-1.07,-1.783121766,-38.51,-1.97607405,245.7957324,-0.658693491,0.6767662565
0.102,-1.15,-1.15,-1.921852745,-41.28,-2.080205123,240.8253989,-0.7679867682,0.674762382
0.103,-1.28,-1.28,-2.148896973,-46,-2.248112458,239.3079643,-0.8018036321,0.7045757683
0.104,-1.4,-1.4,-2.36024152,-50.2,-2.388021791,242.7191663,-0.726080776,0.7579202899
0.105,-1.43,-1.43,-2.413342446,-51.33,-2.424219533,244.8831102,-0.6785946328,0.7777914876
0.106,-1.48,-1.48,-2.502079357,-53.23,-2.4837591,245.6947368,-0.6608922169,0.7956619365
0.107,-1.62,-1.62,-2.752107905,-58.24,-2.63317471,241.5288629,-0.7523819092,0.8128967299
0.108,-1.76,-1.76,-3.004443059,-63.16,-2.769997491,239.0043913,-0.808594658,0.8395600654
0.109,-1.85,-1.85,-3.167876545,-66.6,-2.860354819,241.5225299,-0.7525221917,0.8768293344
0.11,-1.77,-1.77,-3.022555262,-64.05,-2.793775647,245.2622454,-0.6703180108,0.8725385513
0.111,-1.54,-1.54,-2.608952007,-57.04,-2.598352043,250.2120958,-0.563420121,0.8251549674
0.112,-1.26,-1.26,-2.113837639,-48.43,-2.330108616,256.1604878,-0.437720736,0.7637167508
0.113,-0.93,-0.93,-1.542154886,-37.79,-1.948302005,260.9767107,-0.3380661873,0.6744997989
0.114,-0.69,-0.69,-1.134435196,-29.05,-1.586585709,266.2893699,-0.2302508356,0.6244013527
0.115,-0.49,-0.49,-0.7998468842,-21.56,-1.237626668,273.6434237,-0.08450447066,0.604967889
0.116,-0.28,-0.28,-0.4535954528,-12.2,-0.7454633753,275.0012054,-0.05802413542,0.5645332961
0.117,-0.07,-0.07,-0.1125338858,-1.64,-0.1075265695,274.50663,-0.06765449485,0.642386129
0.118,0.12,0.12,0.1915736352,4.1,0.2792832213,274.5117124,-0.06755544344,0.9048110605
0.119,0.24,0.24,0.3814526208,7.14,0.4962754837,273.346726,-0.09030835184,0.9396145424
0.12,0.26,0.26,0.4129343608,7.61,0.5305942766,272.9912014,-0.09727128279,0.9529481858
0.121,0.27,0.27,0.4286575782,7.96,0.5562864082,276.4382249,-0.03014048727,0.8147123472
0.122,0.26,0.26,0.4129343608,7.76,0.5415909922,278.2898488,0.00557512027,0.7546782438
0.123,0.21,0.21,0.3341417478,6.34,0.4383382443,278.5466743,0.01051020023,0.7444422541
0.124,0.16,0.16,0.2550549248,5.16,0.3539715806,278.0110037,0.0002117585017,0.720121182
0.125,0.16,0.16,0.2550549248,5.21,0.3575202108,277.0647469,-0.01802892029,0.7512856204
0.126,0.23,0.23,0.3656940982,7.04,0.489000469,275.1865078,-0.05442039099,0.8414884085
0.127,0.25,0.25,0.397199375,7.69,0.5364565434,275.3976155,-0.05031774279,0.8170493171
0.128,0.19,0.19,0.3025423238,6.07,0.4189196601,277.6580374,-0.006584985388,0.7337300071
0.129,-0.03,-0.03,-0.0481581978,0.79,0.05264144509,271.7693453,-0.1212706022,0.7017162945
0.13,-0.44,-0.44,-0.7169353312,-13.25,-0.8039649764,258.5638584,-0.387759525,0.6015948572
0.131,-0.95,-0.95,-1.576437505,-30.09,-1.632101682,246.2152272,-0.6495705333,0.6909132234
0.132,-1.48,-1.48,-2.502079357,-47.38,-2.295037028,234.1531314,-0.918305056,0.778653281
0.133,-1.9,-1.9,-3.25908482,-60.78,-2.704974573,225.7057229,-1.114881546,0.8531957011
0.134,-2.19,-2.19,-3.793894636,-70.27,-2.952366723,218.7852212,-1.281488657,0.8960850798
0.135,-2.46,-2.46,-4.300717927,-79.01,-3.155604707,211.1456635,-1.471639856,0.9294338929
0.136,-2.64,-2.64,-4.643366323,-85.04,-3.28502433,205.9686822,-1.604448867,0.9496659734
0.137,-2.69,-2.69,-4.739223116,-86.53,-3.315893744,202.5158729,-1.694895225,0.9458037738
0.138,-2.53,-2.53,-4.433516998,-82.09,-3.222664721,199.7457837,-1.76857966,0.8882588508
0.139,-2.25,-2.25,-3.905780625,-73.61,-3.032503182,197.1556248,-1.83840832,0.8018582606
0.14,-2.02,-2.02,-3.479185057,-67.05,-2.871872832,193.5133999,-1.93816779,0.7233171879
0.141,-2.03,-2.03,-3.497603238,-67.4,-2.880784604,193.5195159,-1.937998707,0.7258270423
0.142,-2.24,-2.24,-3.887103539,-74.12,-3.044457697,195.3528796,-1.8875525,0.7881377742
0.143,-2.44,-2.44,-4.262881251,-80.78,-3.194399681,196.0547222,-1.868366048,0.8420064208
0.144,-2.51,-2.51,-4.395515564,-83.19,-3.246119757,195.2907073,-1.889255442,0.8559288062
0.145,-2.49,-2.49,-4.357561204,-82.51,-3.231649659,194.9859571,-1.897610612,0.8495496375
0.146,-2.42,-2.42,-4.225091649,-80.67,-3.192009306,193.9935328,-1.924910157,0.8257100153
0.147,-2.34,-2.34,-4.074403975,-78.16,-3.136715329,194.2848457,-1.916882289,0.8062383046
0.148,-2.22,-2.22,-3.849784673,-74.71,-3.058198193,196.040856,-1.868744447,0.7813739583
0.149,-2.1,-2.1,-3.62686002,-71.12,-2.973073263,199.4744313,-1.775852514,0.7637221953
