# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0,0,0,0,2,0.1343468725,299.39,0.3965738732,0
0.001,-0.26,-0.26,-0.43,6,0.4138963161,298.429,0.3793735017,-0.5420602049
0.002,-0.15,-0.15,-0.2,1,0.06672794636,295.621,0.3287955642,-0.5056589423
0.003,-0.07,-0.07,-0.1,4,0.2722904524,293.734,0.2945361298,-0.1764208016
0.004,-0.17,-0.17,-0.28,1,0.06672794636,291.328,0.2505333657,-0.8825532434
0.005,-0.16,-0.16,-0.25,-8,-0.5027319434,288.341,0.1953964119,0.8134432059
0.006,-0.22,-0.22,-0.35,-6,-0.3821161368,284.517,0.1239696224,1.355819198
0.007,-0.11,-0.11,-0.18,-20,-1.160076618,280.676,0.05125228036,0.1623340992
0.008,-0.19,-0.19,-0.3,-31,-1.671363433,275.298,-0.05225327008,0.1740526182
0.009,-0.31,-0.31,-0.5,-39,-1.994806163,265.314,-0.2498828967,0.2227480006
0.01,-0.66,-0.66,-1.09,-44,-2.17839078,249.493,-0.5788178643,0.3953273548
0.011,-0.89,-0.89,-1.47,-69,-2.92101419,241.992,-0.7421329857,0.4012942777
0.012,-1.37,-1.37,-2.3,-58,-2.626257331,235.299,-0.8921877631,0.6536978519
0.013,-1.81,-1.81,-3.1,-75,-3.06491739,228.168,-1.05683319,0.7521076154
0.014,-2.08,-2.08,-3.58,-74,-3.041651351,222.622,-1.188480285,0.8463093606
0.015,-2.48,-2.48,-4.34,-95,-3.484859337,217.418,-1.3150265,0.9041881718
0.016,-2.79,-2.79,-4.94,-111,-3.78769495,211.668,-1.458421258,0.9416489845
0.017,-2.96,-2.96,-5.26,-112,-3.80650406,200.808,-1.74020459,0.9483101298
0.018,-3.06,-3.06,-5.46,-123,-4.017536516,188.925,-2.066549865,0.8974231558
0.019,-3.28,-3.28,-5.9,-139,-4.35454177,185.643,-2.160306669,0.9056235237
0.02,-3.26,-3.26,-5.86,-135,-4.265443427,184.705,-2.187407184,0.9081257808
0.021,-3.18,-3.18,-5.69,-137,-4.309512174,184.436,-2.195204477,0.8747498631
0.022,-3.22,-3.22,-5.77,-132,-4.200998453,184.176,-2.20275171,0.9010345272
0.023,-3.33,-3.33,-6,-131,-4.179926178,183.876,-2.211473305,0.9387615366
0.024,-3.3,-3.3,-5.93,-120,-3.958935799,183.735,-2.215577372,0.9603996034
0.025,-3.31,-3.31,-5.95,-121,-3.978357579,183.73,-2.215722964,0.9605945481
0.026,-3.4,-3.4,-6.14,-116,-3.882175334,184.272,-2.199963799,1.009513243
0.027,-3.43,-3.43,-6.18,-108,-3.731397367,183.353,-2.226712036,1.03724178
0.028,-3.25,-3.25,-5.83,-120,-3.958935799,185.159,-2.174273161,0.9505627541
0.029,-3.13,-3.13,-5.6,-103,-3.637508731,186.262,-2.142497535,0.9688570811
0.03,-3.27,-3.27,-5.86,-110,-3.768912929,187.727,-2.100582986,0.9983821582
0.031,-3.26,-3.26,-5.85,-103,-3.637508731,189.517,-2.049811751,1.028603895
0.032,-3.05,-3.05,-5.44,-105,-3.675122268,195.007,-1.897033272,0.9762828695
0.033,-3.11,-3.11,-5.55,-111,-3.78769495,202.857,-1.685891018,1.013960506
0.034,-3.13,-3.13,-5.59,-102,-3.618648331,202.585,-1.693069357,1.052390268
0.035,-3.05,-3.05,-5.44,-103,-3.637508731,201.513,-1.721454618,1.015121703
0.036,-3.19,-3.19,-5.71,-93,-3.445820295,197.403,-1.831699772,1.081947568
0.037,-3.29,-3.29,-5.9,-88,-3.345971234,199.642,-1.771360128,1.152944686
0.038,-3.23,-3.23,-5.79,-69,-2.92101419,203.464,-1.669906353,1.261184973
0.039,-3.33,-3.33,-5.99,-80,-3.177391465,209.547,-1.512300849,1.277269296
0.04,-3.21,-3.21,-5.76,-80,-3.177391465,209.367,-1.516898451,1.227022639
0.041,-3.2,-3.2,-5.73,-72,-2.99428247,208.802,-1.531355534,1.266119826
0.042,-3.15,-3.15,-5.62,-78,-3.133140272,209.718,-1.507936783,1.210925812
0.043,-2.99,-2.99,-5.31,-83,-3.242086103,209.089,-1.524006966,1.114120082
0.044,-3.03,-3.03,-5.4,-86,-3.304958889,211.748,-1.456399605,1.134130103
0.045,-2.98,-2.98,-5.31,-89,-3.366231144,213.648,-1.408608523,1.112079226
0.046,-3.14,-3.14,-5.61,-70,-2.945743207,215.586,-1.360297483,1.302820945
0.047,-3.16,-3.16,-5.65,-69,-2.92101419,213.469,-1.413092775,1.303613419
0.048,-3.07,-3.07,-5.48,-80,-3.177391465,213.339,-1.416351852,1.192926906
0.049,-2.88,-2.88,-5.1,-95,-3.484859337,209.396,-1.516157459,1.019792616
0.05,-2.84,-2.84,-5.03,-77,-3.110653654,205.543,-1.615517329,1.064286506
0.051,-2.72,-2.72,-4.79,-93,-3.445820295,211.257,-1.468819559,0.9746390666
0.052,-2.77,-2.77,-4.89,-83,-3.242086103,214.515,-1.386941745,1.056377313
0.053,-2.85,-2.85,-5.04,-77,-3.110653654,216.151,-1.346294738,1.130818569
0.054,-2.76,-2.76,-4.87,-82,-3.220734581,219.365,-1.267329959,1.08510026
0.055,-2.74,-2.74,-4.84,-52,-2.44540255,212.525,-1.436803946,1.246713694
0.056,-2.73,-2.73,-4.82,-74,-3.041651351,226.007,-1.107745007,1.161614747
0.057,-2.78,-2.78,-4.92,-69,-2.92101419,229.895,-1.016491604,1.249521971
0.058,-2.94,-2.94,-5.22,-55,-2.537773694,231.113,-0.9882217473,1.480432997
0.059,-2.99,-2.99,-5.31,-58,-2.626257331,230.397,-1.004822051,1.46237508
0.06,-3.11,-3.11,-5.56,-66,-2.84489123,221.265,-1.22119119,1.367409567
0.061,-3.07,-3.07,-5.48,-72,-2.99428247,218.021,-1.30020903,1.276053288
0.062,-3.15,-3.15,-5.64,-52,-2.44540255,214.426,-1.389161864,1.470831988
0.063,-3.28,-3.28,-5.88,-52,-2.44540255,213.399,-1.414847416,1.523217422
0.064,-3.14,-3.14,-5.62,-61,-2.71107478,213.323,-1.416753106,1.361490875
0.065,-3.11,-3.11,-5.55,-87,-3.325549881,211.242,-1.469199441,1.157516197
0.066,-3.15,-3.15,-5.63,-70,-2.945743207,208.769,-1.532201138,1.25727333
0.067,-3.01,-3.01,-5.35,-94,-3.465395947,206.077,-1.601636072,1.055844917
0.068,-2.89,-2.89,-5.12,-85,-3.28419006,206.765,-1.583804536,1.051767807
0.069,-2.8,-2.8,-4.95,-84,-3.263235197,203.957,-1.656958806,1.006057891
0.07,-2.66,-2.66,-4.67,-86,-3.304958889,207.135,-1.574239421,0.9571244502
0.071,-2.51,-2.51,-4.39,-104,-3.656330645,217.841,-1.30462786,0.8849096391
0.072,-2.42,-2.42,-4.22,-101,-3.599741246,217.411,-1.315198751,0.8586066161
0.073,-2.14,-2.14,-3.7,-112,-3.80650406,216.814,-1.329909798,0.720346939
0.074,-2.01,-2.01,-3.46,-93,-3.445820295,221.59,-1.213338731,0.742623289
0.075,-1.81,-1.81,-3.1,-84,-3.263235197,222.21,-1.198390547,0.6948139934
0.076,-1.75,-1.75,-2.98,-90,-3.386337807,222.038,-1.202533278,0.6493971926
0.077,-1.78,-1.78,-3.04,-88,-3.345971234,222.429,-1.193120428,0.6697375216
0.078,-1.75,-1.75,-2.97,-90,-3.386337807,222.636,-1.188143851,0.6492538875
0.079,-1.54,-1.54,-2.61,-90,-3.386337807,228.043,-1.059764947,0.5870309671
0.08,-1.29,-1.29,-2.16,-86,-3.304958889,230.206,-1.009259061,0.5006701156
0.081,-1.22,-1.22,-2.03,-67,-2.870596398,231.29,-0.9841259692,0.5266267727
0.082,-1.2,-1.2,-2,-77,-3.110653654,231.348,-0.9827845316,0.4885868332
0.083,-1.2,-1.2,-2.01,-84,-3.263235197,228.955,-1.038411653,0.4672629043
0.084,-1.29,-1.29,-2.17,-77,-3.110653654,226.941,-1.085681074,0.5171179471
0.085,-1.41,-1.41,-2.37,-85,-3.28419006,225.113,-1.128949592,0.5370326314
0.086,-1.42,-1.42,-2.39,-94,-3.465395947,224.814,-1.136060302,0.5194007877
0.087,-1.55,-1.55,-2.63,-86,-3.304958889,222.097,-1.201111863,0.5836570583
0.088,-1.52,-1.52,-2.57,-92,-3.426124186,224.428,-1.145254013,0.5621936948
0.089,-1.46,-1.46,-2.47,-106,-3.693891798,225.197,-1.126953634,0.5123582648
0.09,-1.34,-1.34,-2.25,-102,-3.618648331,227.449,-1.073718658,0.4795021373
0.091,-1.3,-1.3,-2.17,-91,-3.406299423,231.443,-0.9805880757,0.4946559493
0.092,-1.2,-1.2,-2,-87,-3.325549881,238.9,-0.8109319176,0.4835026714
0.093,-1.14,-1.14,-1.9,-94,-3.465395947,234.552,-0.9091993406,0.4343258919
0.094,-1.09,-1.09,-1.82,-57,-2.597181069,236.975,-0.8542155789,0.5273227582
0.095,-1.02,-1.02,-1.69,-87,-3.325549881,242.256,-0.7362996105,0.4160666227
0.096,-0.86,-0.86,-1.42,-76,-3.087915426,256.702,-0.4264230054,0.4040589795
0.097,-0.78,-0.78,-1.29,-77,-3.110653654,257.228,-0.4154717047,0.3658406519
0.098,-0.73,-0.73,-1.19,-60,-2.683195989,257.117,-0.4177808552,0.3837500438
0.099,-0.75,-0.75,-1.24,-61,-2.71107478,256.536,-0.4298837781,0.3947839416
0.1,-0.59,-0.59,-0.96,-70,-2.945743207,257.58,-0.4081555779,0.2862340403
0.101,-0.66,-0.66,-1.07,-86,-3.304958889,253.236,-0.4991510059,0.2812747343
0.102,-0.64,-0.64,-1.06,-99,-3.561754237,251.91,-0.5272383956,0.2592325532
0.103,-0.6,-0.6,-0.97,-76,-3.087915426,251.438,-0.5372720135,0.2675723714
0.104,-0.53,-0.53,-0.87,-91,-3.406299423,253.891,-0.4853309886,0.2235566865
0.105,-0.66,-0.66,-1.08,-77,-3.110653654,249.793,-0.5723886826,0.2932358364
0.106,-0.82,-0.82,-1.36,-69,-2.92101419,242.549,-0.729832886,0.3725162878
0.107,-1.04,-1.04,-1.73,-74,-3.041651351,229.892,-1.016561419,0.4262960318
0.108,-1.12,-1.12,-1.86,-53,-2.476638538,230.235,-1.008585142,0.5336816717
0.109,-1.03,-1.03,-1.71,-83,-3.242086103,233.934,-0.9233141783,0.4105247718
0.11,-1.12,-1.12,-1.86,-86,-3.304958889,237.672,-0.8385030486,0.4488999846
0.111,-1.08,-1.08,-1.79,-92,-3.426124186,243.464,-0.7096883393,0.4328049178
