# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.668,1.05,2.1,3.10787358,6.97,0.4839135551,358.821,1.365333606,1.680615574
2.669,1.11,2.22,3.269790847,8.76,0.6154479405,359.927,1.381798639,1.637149304
2.67,1.11,2.22,3.269790847,8.6,0.6035668934,361.054,1.398524336,1.633187739
2.671,1,2,2.971648,5.77,0.3974231805,362.377,1.418092361,1.636806699
2.672,0.87,1.74,2.611953881,2.47,0.1664378882,361.124,1.399561476,1.667915032
2.673,0.83,1.66,2.499678265,1.17,0.07816007964,359.75,1.379167042,1.715248573
2.674,0.82,1.64,2.471491677,1.01,0.06739971161,359.141,1.370102661,1.71929572
2.675,0.74,1.48,2.244304323,-1.88,-0.123065179,358.466,1.360037957,1.814352234
2.676,0.59,1.18,1.810207839,-7.95,-0.4997566601,357.563,1.346543943,2.137736212
2.677,0.49,0.98,1.514925983,-11.7,-0.7173027255,355.186,1.31085958,2.55228454
2.678,0.46,0.92,1.425423491,-12.82,-0.780110914,351.018,1.247707689,3.048403169
2.679,0.39,0.78,1.214936767,-15.68,-0.9360969855,348.316,1.20636615,4.495284427
2.68,0.19,0.38,0.6008362552,-23.54,-1.333585162,345.239,1.158894622,-3.439432118
2.681,-0.09,-0.18,-0.2905379208,-34.18,-1.804515842,340.533,1.085466441,0.4040583587
2.682,-0.29,-0.58,-0.9498290888,-41.68,-2.09489284,336.426,1.020550487,0.8841028055
2.683,-0.35,-0.7,-1.15128818,-43.86,-2.173432812,330.407,0.9239670108,0.9214243234
2.684,-0.31,-0.62,-1.016793825,-42.8,-2.135559514,324.539,0.8280976107,0.7776852408
2.685,-0.23,-0.46,-0.7500646472,-39.95,-2.030739225,320.432,0.7599619984,0.5902408634
2.686,-0.1,-0.2,-0.32305528,-35.78,-1.869189884,307.848,0.5456199692,0.2440787423
2.687,0.05,0.1,0.15976238,-30.25,-1.63904284,309.104,0.5674032175,-0.1490821884
2.688,0.24,0.48,0.7561266432,-23.23,-1.318741538,310,0.5828888333,-1.027551626
2.689,0.4,0.8,1.24514752,-16.52,-0.9807303901,318.302,0.7242803462,-4.855321922
2.69,0.48,0.96,1.485138893,-12.94,-0.7867822989,320.221,0.7564379377,-48.94282946
2.691,0.47,0.94,1.455304729,-13.41,-0.8128043309,321.157,0.7720530775,-35.71190106
2.692,0.42,0.84,1.305427805,-15.41,-0.9216377426,321.729,0.7815732749,-9.320192522
2.693,0.36,0.72,1.124022067,-17.46,-1.030052276,322.542,0.7950755194,-4.783545757
2.694,0.26,0.52,0.8179132832,-21.58,-1.238609678,323.338,0.8082624958,-1.900589379
2.695,0.09,0.18,0.2867249592,-28.1,-1.544399488,324.138,0.8214830698,-0.3966225584
2.696,-0.07,-0.14,-0.2256444232,-34.19,-1.80492481,325.583,0.8452802466,0.2351333314
2.697,-0.12,-0.24,-0.3882312192,-36.37,-1.892655812,326.851,0.8660756329,0.3781791497
2.698,-0.08,-0.16,-0.2580676352,-35,-1.837851888,329.077,0.9023879895,0.2758712931
2.699,-0.07,-0.14,-0.2256444232,-34.49,-1.817165885,330.152,0.9198364182,0.2514621791
2.7,-0.13,-0.26,-0.4208897992,-36.85,-1.91159652,332.668,0.9604527685,0.4425091355
2.701,-0.21,-0.42,-0.6838530888,-39.99,-2.032241151,342.333,1.113671161,0.744475757
2.702,-0.26,-0.52,-0.8497350368,-41.8,-2.099282249,340.216,1.08048384,0.8340561096
2.703,-0.29,-0.58,-0.9498290888,-42.96,-2.141314298,335.965,1.013214427,0.8419725176
2.704,-0.3,-0.6,-0.98328792,-43.27,-2.152425566,330.244,0.921327039,0.7987077381
2.705,-0.21,-0.42,-0.6838530888,-40.55,-2.053175126,323.155,0.8052336927,0.5479849219
2.706,-0.06,-0.12,-0.1932682848,-35.35,-1.851958417,312.09,0.6188371432,0.1567309631
2.707,0.1,0.2,0.31834792,-29.57,-1.609430277,311.065,0.6012371723,-0.3157608582
2.708,0.23,0.46,0.7251627128,-24.82,-1.394175695,310.645,0.5940087206,-0.9062642368
2.709,0.32,0.64,1.002143437,-21.2,-1.219884144,309.517,0.5745466876,-1.552898297
2.71,0.42,0.84,1.305427805,-16.95,-1.003374068,307.93,0.5470448334,-2.860714822
2.711,0.5,1,1.544666,-13.31,-0.807282055,306.555,0.5231019795,-5.435518297
2.712,0.52,1.04,1.604004813,-12.39,-0.7561130555,304.988,0.4956845507,-6.159098497
2.713,0.51,1.02,1.574358943,-12.71,-0.7739856404,304.731,0.49117444,-5.566819635
2.714,0.51,1.02,1.574358943,-12.83,-0.7806672903,303.513,0.4697478128,-5.063558437
2.715,0.48,0.96,1.485138893,-14.29,-0.8610680197,302.339,0.4490136802,-3.604230681
2.716,0.38,0.76,1.184678941,-18.17,-1.066872416,302.78,0.4568116519,-1.941903186
