# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.463,1.12,2.24,3.29,-9,-0.5618099385,410.678,2.087507612,2.15639052
3.464,1.1,2.2,3.24,-4,-0.2581659283,409.409,2.070950453,1.787305637
3.465,1.05,2.1,3.09,1,0.06672794636,409.149,2.067551794,1.447795217
3.466,1.035,2.07,3.06,3,0.2028649755,409.28,2.069264465,1.346754258
3.467,0.915,1.83,2.73,8,0.5592300399,411.447,2.097516191,1.027572739
3.468,1.03,2.06,3.04,8,0.5592300399,412.659,2.113252527,1.137519113
3.469,1.055,2.11,3.11,9,0.6333153419,414.305,2.134549976,1.123609585
3.47,1.05,2.1,3.09,12,0.8613433732,416.177,2.158669022,1.023174608
3.471,1.09,2.18,3.2,13,0.9393040821,417.95,2.181412715,1.025405446
3.472,1.11,2.22,3.26,14,1.018254135,419.517,2.201433707,1.012520517
3.473,1.15,2.3,3.37,15,1.09820173,421,2.220312702,1.015514643
3.474,1.145,2.29,3.36,16,1.179155063,422.483,2.239125312,0.9829503819
3.475,1.18,2.36,3.46,17,1.261122332,423.582,2.253024133,0.9845918587
3.476,1.265,2.53,3.69,18,1.344111733,425.637,2.278916798,1.018484941
3.477,1.29,2.58,3.75,19,1.428131464,427.156,2.297975722,1.006412272
3.478,1.33,2.66,3.85,21,1.599294702,427.312,2.299929219,0.9873759698
3.479,1.26,2.52,3.68,24,1.863971957,428.269,2.311897582,0.8812535845
3.48,1.33,2.66,3.87,25,1.954345803,428.742,2.317803108,0.9058673002
3.481,1.325,2.65,3.85,23,1.774677623,428.463,2.31432051,0.9415509312
3.482,1.32,2.64,3.84,21,1.599294702,428.52,2.315032193,0.981011577
3.483,1.325,2.65,3.85,19,1.428131464,428.599,2.316018404,1.028270806
3.484,1.33,2.66,3.86,17,1.261122332,428.433,2.313945902,1.079699672
3.485,1.33,2.66,3.85,15,1.09820173,428.644,2.316580088,1.127451241
3.486,1.33,2.66,3.85,14,1.018254135,429.272,2.324412558,1.151775021
3.487,1.36,2.72,3.93,13,0.9393040821,429.543,2.327788954,1.20290422
3.488,1.35,2.7,3.9,11,0.7843638115,429.834,2.331412161,1.251694613
3.489,1.37,2.74,3.96,10,0.7083572001,430.173,2.335629917,1.300925348
3.49,1.37,2.74,3.95,8,0.5592300399,430.424,2.338750658,1.36301805
3.491,1.42,2.84,4.07,9,0.6333153419,430.436,2.338899811,1.369349051
3.492,1.415,2.83,4.06,10,0.7083572001,429.765,2.330553272,1.336005137
3.493,1.415,2.83,4.07,12,0.8613433732,429.663,2.329283357,1.275611453
3.494,1.41,2.82,4.05,14,1.018254135,429.383,2.325795768,1.211106328
3.495,1.41,2.82,4.05,15,1.09820173,428.802,2.318551757,1.185335733
3.496,1.415,2.83,4.06,14,1.018254135,428.258,2.311760166,1.219213983
3.497,1.415,2.83,4.07,14,1.018254135,428.253,2.311697704,1.222239899
3.498,1.4,2.8,4.03,14,1.018254135,427.887,2.307123452,1.211892453
3.499,1.395,2.79,4.03,13,0.9393040821,427.211,2.298664536,1.244607492
3.5,1.32,2.64,3.84,14,1.018254135,427.198,2.298501734,1.157757807
3.501,1.4,2.8,4.04,10,0.7083572001,426.342,2.287770892,1.348406969
3.502,1.385,2.77,4,8,0.5592300399,425.721,2.279972523,1.408846291
3.503,1.365,2.73,3.95,6,0.4138963161,424.941,2.270161338,1.471652442
3.504,1.36,2.72,3.94,3,0.2028649755,424.57,2.265488414,1.596205801
3.505,1.345,2.69,3.91,1,0.06672794636,424.117,2.259777121,1.680632488
3.506,1.335,2.67,3.87,2,0.1343468725,424.087,2.259398674,1.616713191
3.507,1.315,2.63,3.82,3,0.2028649755,423.56,2.252746258,1.555620836
3.508,1.285,2.57,3.74,5,0.3426315003,423.644,2.253807159,1.440434568
3.509,1.26,2.52,3.69,7,0.4860930969,424.065,2.259121129,1.344157394
3.51,1.245,2.49,3.65,8,0.5592300399,424.471,2.264240771,1.292735163
3.511,1.215,2.43,3.56,9,0.6333153419,424.782,2.268159156,1.226962361
3.512,1.11,2.22,3.29,12,0.8613433732,424.231,2.261214974,1.053623226
3.513,1.105,2.21,3.28,12,0.8613433732,425.406,2.276012479,1.045466359
