# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.058,-2.94,-2.94,-5.22,-55,-2.537773694,231.096,-0.9886152922,1.480267781
0.059,-2.99,-2.99,-5.31,-58,-2.626257331,230.309,-1.006865871,1.461552418
0.06,-3.11,-3.11,-5.56,-66,-2.84489123,221.174,-1.223391945,1.366669861
0.061,-3.07,-3.07,-5.48,-72,-2.99428247,217.942,-1.302147956,1.275477421
0.062,-3.15,-3.15,-5.64,-52,-2.44540255,214.331,-1.391532671,1.469923174
0.063,-3.28,-3.28,-5.88,-52,-2.44540255,213.346,-1.416176312,1.522693232
0.064,-3.14,-3.14,-5.62,-61,-2.71107478,213.282,-1.417781458,1.361151776
0.065,-3.11,-3.11,-5.55,-87,-3.325549881,211.209,-1.470035278,1.15731445
0.066,-3.15,-3.15,-5.63,-70,-2.945743207,208.779,-1.53194488,1.257345284
0.067,-3.01,-3.01,-5.35,-94,-3.465395947,206.081,-1.601532228,1.055866556
0.068,-2.89,-2.89,-5.12,-85,-3.28419006,206.772,-1.583623416,1.051806941
0.069,-2.8,-2.8,-4.95,-84,-3.263235197,204.076,-1.653838225,1.006696377
0.07,-2.66,-2.66,-4.67,-86,-3.304958889,207.455,-1.565980658,0.9587472714
0.071,-2.51,-2.51,-4.39,-104,-3.656330645,218.313,-1.293048459,0.8869799439
0.072,-2.42,-2.42,-4.22,-101,-3.599741246,217.956,-1.301804298,0.8609529304
0.073,-2.14,-2.14,-3.7,-112,-3.80650406,217.404,-1.315371009,0.7223916926
0.074,-2.01,-2.01,-3.46,-93,-3.445820295,222.223,-1.198077563,0.7450637601
0.075,-1.81,-1.81,-3.1,-84,-3.263235197,222.869,-1.18254773,0.6972900052
0.076,-1.75,-1.75,-2.98,-90,-3.386337807,222.724,-1.186029607,0.6517411507
0.077,-1.78,-1.78,-3.04,-88,-3.345971234,223.178,-1.175135281,0.672401765
0.078,-1.75,-1.75,-2.97,-90,-3.386337807,223.522,-1.166895297,0.6522837579
0.079,-1.54,-1.54,-2.61,-90,-3.386337807,228.951,-1.038505122,0.589851446
0.08,-1.29,-1.29,-2.16,-86,-3.304958889,231.096,-0.9886152922,0.5030773684
0.081,-1.22,-1.22,-2.03,-67,-2.870596398,232.074,-0.9660218264,0.5291118066
0.082,-1.2,-1.2,-2,-77,-3.110653654,231.997,-0.9677972013,0.4903822728
0.083,-1.2,-1.2,-2.01,-84,-3.263235197,229.657,-1.022033089,0.4690488123
0.084,-1.29,-1.29,-2.17,-77,-3.110653654,227.694,-1.067958929,0.5193111247
0.085,-1.41,-1.41,-2.37,-85,-3.28419006,225.874,-1.110894287,0.5392387979
0.086,-1.42,-1.42,-2.39,-94,-3.465395947,225.612,-1.117103561,0.5215494286
0.087,-1.55,-1.55,-2.63,-86,-3.304958889,222.983,-1.179811844,0.5864290856
