# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.163,1.15,2.3,3.37679422,6.54,0.4527663051,314.49,0.6598217351,3.035080459
3.164,1.16,2.32,3.403427379,6.91,0.479557009,313.781,0.6477468451,3.019086085
3.165,1.15,2.3,3.37679422,6.6,0.4571020242,312.946,0.6334910283,3.096291703
3.166,1.09,2.18,3.216006719,4.86,0.3327283302,311.578,0.6100529804,3.411190573
3.167,0.98,1.96,2.916828253,2.01,0.135027589,309.47,0.5737342311,4.115385691
3.168,0.88,1.76,2.639905101,-1.33,-0.08738173801,307.484,0.5392903773,5.841678763
3.169,0.84,1.68,2.527817779,-3.96,-0.2556524629,305.634,0.5070044877,10.0568825
3.17,0.84,1.68,2.527817779,-3.59,-0.2323383421,303.853,0.475737612,10.38547807
3.171,0.87,1.74,2.611953881,-1.91,-0.1250039901,302.264,0.4476863629,8.094504381
3.172,0.9,1.8,2.69566632,-0.44,-0.02908014608,300.664,0.4192915294,6.908220609
3.173,0.9,1.8,2.69566632,-0.14,-0.00927127891,298.965,0.3889738686,7.099415157
3.174,0.88,1.76,2.639905101,-1.27,-0.08347306807,294.088,0.3009799179,12.13711247
3.175,0.83,1.66,2.499678265,-3.79,-0.2449550501,288.952,0.206721168,-65.37861524
3.176,0.77,1.54,2.329852633,-7.31,-0.4614921484,289.923,0.2246692738,-9.837954367
3.177,0.7,1.4,2.12958088,-10.8,-0.6661171347,291.525,0.2541498867,-5.169296565
3.178,0.66,1.32,2.014104259,-12.8,-0.7789979281,293.944,0.2983596523,-4.190478288
3.179,0.67,1.34,2.043044025,-12.34,-0.7533132446,300.236,0.4116702933,-5.980056128
3.18,0.73,1.46,2.215694073,-9.8,-0.6084894545,307.314,0.5363316818,-30.70624261
3.181,0.79,1.58,2.386649471,-6.48,-0.4113655559,308.455,0.5561584578,16.48319386
3.182,0.85,1.7,2.55591022,-3.45,-0.2234863406,309.725,0.5781407592,7.206762655
3.183,0.91,1.82,2.723476319,0.14,0.009288581452,311.175,0.6031287254,4.447092348
3.184,1.02,2.04,3.026279453,2.74,0.1849633106,312.716,0.6295575944,3.715410414
3.185,1.16,2.32,3.403427379,6.47,0.4477122266,314.47,0.6594814909,3.073922228
3.186,1.31,2.62,3.797275935,10.3,0.7310575115,316.41,0.6923848409,2.667671036
3.187,1.4,2.8,4.02850112,12.98,0.9377351997,318.771,0.7321574669,2.41243117
3.188,1.45,2.9,4.15531198,14.22,1.035756731,320.972,0.7689703635,2.302460019
3.189,1.46,2.92,4.180532931,14.58,1.064501714,322.592,0.7959048045,2.247107226
3.19,1.47,2.94,4.205706809,14.78,1.080527253,323.248,0.8067731348,2.228424704
3.191,1.49,2.98,4.255913343,15.12,1.107862866,322.116,0.7880047925,2.244836724
3.192,1.49,2.98,4.255913343,15.22,1.115924885,320.603,0.7628162888,2.265300512
3.193,1.46,2.92,4.180532931,14.63,1.068504338,318.277,0.7238601312,2.332412299
3.194,1.38,2.76,3.977447261,12.54,0.9033197749,316.867,0.7001064238,2.480592661
3.195,1.27,2.54,3.693285273,9.63,0.6804797069,316.505,0.6939909017,2.687060203
3.196,1.19,2.38,3.483044415,7.3,0.5079350898,316.929,0.7011531328,2.880719827
3.197,1.16,2.32,3.403427379,6.55,0.4534886908,317.318,0.7077157189,2.930945965
3.198,1.19,2.38,3.483044415,7.32,0.5093942366,317.33,0.7079180357,2.861257949
3.199,1.26,2.52,3.667169923,9.14,0.6437634298,318.724,0.7313685979,2.666776607
3.2,1.32,2.64,3.823155917,10.82,0.7706110557,320.125,0.7548338049,2.506256382
3.201,1.33,2.66,3.848988825,11.21,0.800448539,321.424,0.7764990542,2.440784235
3.202,1.29,2.58,3.745374751,10.05,0.7121345496,322.141,0.7884199995,2.495993733
3.203,1.2,2.4,3.50948928,7.64,0.5327919175,321.894,0.7843163403,2.664541247
3.204,1.09,2.18,3.216006719,4.71,0.3221378573,321.777,0.7823714026,2.911706435
3.205,0.98,1.96,2.916828253,1.79,0.1200725855,321.033,0.7699870222,3.277115631
3.206,0.89,1.78,2.667809247,-0.92,-0.06060984386,320.688,0.7642345218,3.791523139
3.207,0.9,1.8,2.69566632,-0.38,-0.0251247098,320.52,0.7614310632,3.661066223
3.208,1.03,2.06,3.053524569,3,0.2028649755,320.234,0.7566551271,3.182345592
