# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.097,0.23,0.46,0.7251627128,-14.17,-0.8545216457,268.394,-0.1881330899,-0.6954964937
2.098,-0.17,-0.34,-0.5519948552,-30.12,-1.633404388,267.969,-0.1966114916,0.3016339154
2.099,-0.34,-0.68,-1.117593981,-36.86,-1.911989692,266.87,-0.2185981391,0.5245472468
2.1,-0.26,-0.52,-0.8497350368,-34.04,-1.798783951,265.458,-0.2469799552,0.4153631971
2.101,-0.11,-0.22,-0.3556197128,-28.71,-1.571554699,262.87,-0.2993940266,0.190074537
2.102,-0.01,-0.02,-0.0320936968,-24.8,-1.393237573,258.845,-0.381945524,0.01807909103
2.103,0.07,0.14,0.2233378168,-21.85,-1.251852694,249.211,-0.5848683478,-0.1215959374
2.104,0.11,0.22,0.3499238072,-20.08,-1.164095834,248.63,-0.5973556737,-0.198656509
2.105,0.12,0.24,0.3814526208,-19.66,-1.142943575,248.262,-0.6052801336,-0.2181943987
2.106,0.1,0.2,0.31834792,-20.64,-1.192101881,248.204,-0.6065301688,-0.1769944665
2.107,0.05,0.1,0.15976238,-22.44,-1.280612836,248.831,-0.5930323195,-0.0852682161
2.108,0.03,0.06,0.0959986488,-23.51,-1.332151583,249.429,-0.5801904235,-0.05019951894
2.109,0.05,0.1,0.15976238,-22.7,-1.293209475,250.39,-0.5596175508,-0.08622627896
2.11,0.11,0.22,0.3499238072,-20.3,-1.17512499,252.547,-0.5137270287,-0.2071962513
2.111,0.15,0.3,0.47575662,-18.5,-1.083859896,254.719,-0.4679117325,-0.3065893275
2.112,0.12,0.24,0.3814526208,-19.73,-1.146477775,259.296,-0.3726320337,-0.2511027305
2.113,0.01,0.02,0.0320466232,-24.51,-1.379604216,266.834,-0.2193198875,-0.02004261686
2.114,-0.15,-0.3,-0.48634818,-31.04,-1.673077235,266.859,-0.218818663,0.257069208
2.115,-0.27,-0.54,-0.8830526472,-36,-1.877963793,265.222,-0.2517383787,0.4146366844
2.116,-0.31,-0.62,-1.016793825,-37.55,-1.938978796,263.706,-0.2824065309,0.4577296035
2.117,-0.27,-0.54,-0.8830526472,-36.27,-1.888692906,262.949,-0.2977864392,0.4038696496
2.118,-0.2,-0.4,-0.65081792,-33.76,-1.787284647,262.201,-0.3130270474,0.3098673029
2.119,-0.14,-0.28,-0.4535954528,-31.58,-1.696115367,261.692,-0.3234228758,0.2246035471
2.12,-0.1,-0.2,-0.32305528,-30.24,-1.638609494,261.014,-0.3373018136,0.1634968527
2.121,-0.08,-0.16,-0.2580676352,-29.51,-1.606803225,260.073,-0.3566243278,0.1314373096
2.122,-0.06,-0.12,-0.1932682848,-28.92,-1.580847375,256.267,-0.4354966553,0.0958508478
2.123,-0.04,-0.08,-0.1286572288,-28.05,-1.542162911,251.552,-0.5348469155,0.06194348586
