# scenario,S_CO2_LI_K_per_Wm2,ECS_K,CO2_RMSE_ppm,negative_S_CO2_LI_percent,ecs_5th_perc,ecs_95th_perc
CO2_Kohler_2023__SEplus3S,0.75389526129528,1.6531377431705507,80.67180985593049,22.64433891527118,1.34872699707681,2.0586065952995702
CO2_Kohler_2023__SEplusplusV12,1.0109538819762272,2.1375773108127496,29.420021831771816,6.598350412396901,1.6996994212663645,2.733177046853056
CO2_Kohler_2023__SEplus0,0.6372478499630395,1.2307785146777726,91.85321268619111,26.318420394901274,0.9695953090630466,1.6045106898507604
CO2_Kohler_2023__SEplusplusV6,0.9325407801400432,2.3607695092361456,45.63631396587923,15.471132216945763,2.004725622359702,2.7918452573045673
CO2_Kohler_2023__SEplus1,0.6379001185309106,1.2383008964826088,91.25210470958989,25.99350162459385,0.9776849380147179,1.6105754335245288
CO2_Kohler_2023__SEplusplusV18S,0.9114140118688399,1.5442417058642384,96.9316992417815,3.474131467133217,1.172407474141232,2.1206928175637683
CO2_Kohler_2023__SEplusplusV18,0.9215609125666535,1.6106642739135923,88.4790715794351,2.5993501624593853,1.230642469998159,2.1902373952274004
CO2_Kohler_2023__SEplus3,0.6781226426159079,1.3658622088801209,88.4620667922258,26.218445388652835,1.087197525486726,1.7550960623700247
CO2_Kohler_2023__SEplusplusV12S,1.016773683065189,2.074525236712631,35.117375951750425,4.598850287428143,1.6323482993947056,2.6896971081598298
CO2_Kohler_2023__SEplusV6S,1.074655876427512,2.1110755410209996,39.34978217390181,2.9492626843289176,1.63149434003234,2.7922567546182466
CO2_Kohler_2023__SEplusV4,1.0169107869833285,2.515849899893764,29.27249839018349,11.247188202949262,2.0976682278484744,3.024307943403562
CO2_Kohler_2023__SEplusV2S,0.9522334738603979,2.4514045058637457,50.62804316707715,13.921519620094976,2.0892926831265184,2.8827859473842112
CO2_Kohler_2023__SEplusV2,0.8775723098968311,2.1855050106795217,58.574423259912415,17.670582354411398,1.8549178197045766,2.5931178865662767
CO2_Kohler_2023__SEplus2,0.6743625047051026,1.3620469964431368,87.98829156749765,25.868532866783305,1.0865440854240553,1.7469755431891187
CO2_Kohler_2023__SEplus4,0.6848183130077635,1.4085278678465771,85.86118339687005,25.418645338665332,1.1307567521488167,1.793384900758582
CO2_Kohler_2023__SEplusV6,1.0608734404099935,2.2474880995631152,27.55303233254613,5.298675331167209,1.776514119881194,2.885095729545799
CO2_Kohler_2023__SEplusV4S,1.0666695706552412,2.5349535043550655,25.871792466063035,8.07298175456136,2.070780377809298,3.112782387817053
CO2_Kohler_2023__SEplusplusV6S,0.9691587520886434,2.458678337664779,39.730834490201,12.671832041989502,2.0805019434378518,2.9131331914172796
