age_kyr,gmsl_m
-5300,9.6329999999999991
-5299.9,9.6319999999999997
-5299.8,9.64
-5299.7,9.6370000000000005
-5299.6,9.6470000000000002
-5299.5,9.6329999999999991
-5299.4,9.625
-5299.3,9.6150000000000002
-5299.2,9.6199999999999992
-5299.1,9.6210000000000004
-5299,9.609
-5298.9,9.6069999999999993
-5298.8,9.5909999999999993
-5298.7,9.5879999999999992
-5298.5999999999904,9.5679999999999996
-5298.49999999999,9.5440000000000005
-5298.3999999999896,9.5259999999999998
-5298.2999999999902,9.5169999999999995
-5298.1999999999898,9.5020000000000007
-5298.0999999999904,9.4890000000000008
-5297.99999999999,9.4789999999999992
-5297.8999999999896,9.4689999999999994
-5297.7999999999902,9.4949999999999992
-5297.6999999999898,9.52
-5297.5999999999904,9.5359999999999996
-5297.49999999999,9.5299999999999994
-5297.3999999999896,9.5459999999999994
-5297.2999999999902,9.5470000000000006
-5297.1999999999898,9.5549999999999997
-5297.0999999999904,9.5370000000000008
-5296.99999999999,9.5380000000000003
-5296.8999999999896,9.516
-5296.7999999999902,9.5169999999999995
-5296.6999999999898,9.5150000000000006
-5296.5999999999904,9.5329999999999995
-5296.49999999999,9.5640000000000001
-5296.3999999999896,9.5579999999999998
-5296.2999999999902,9.5519999999999996
-5296.1999999999898,9.5399999999999991
-5296.0999999999904,9.5359999999999996
-5295.99999999999,9.5380000000000003
-5295.8999999999896,9.5190000000000001
-5295.7999999999802,9.5109999999999992
-5295.6999999999798,9.5030000000000001
-5295.5999999999804,9.4979999999999993
-5295.49999999998,9.5069999999999997
-5295.3999999999796,9.5169999999999995
-5295.2999999999802,9.5259999999999998
-5295.1999999999798,9.548
-5295.0999999999804,9.532
-5294.99999999998,9.5389999999999997
-5294.8999999999796,9.5310000000000006
-5294.7999999999802,9.5530000000000008
-5294.6999999999798,9.5519999999999996
-5294.5999999999804,9.5640000000000001
-5294.49999999998,9.5660000000000007
-5294.3999999999796,9.5389999999999997
-5294.2999999999802,9.5229999999999997
-5294.1999999999798,9.5009999999999994
-5294.0999999999804,9.4819999999999993
-5293.99999999998,9.4640000000000004
-5293.8999999999796,9.4469999999999992
-5293.7999999999802,9.4309999999999992
-5293.6999999999798,9.423
-5293.5999999999804,9.4079999999999995
-5293.49999999998,9.3940000000000001
-5293.3999999999796,9.3819999999999997
-5293.2999999999802,9.3819999999999997
-5293.1999999999798,9.3680000000000003
-5293.0999999999704,9.3550000000000004
-5292.99999999997,9.343
-5292.8999999999696,9.3320000000000007
-5292.7999999999702,9.3230000000000004
-5292.6999999999698,9.3140000000000001
-5292.5999999999704,9.3059999999999992
-5292.49999999997,9.298
-5292.3999999999696,9.2919999999999998
-5292.2999999999702,9.2850000000000001
-5292.1999999999698,9.2789999999999999
-5292.0999999999704,9.2729999999999997
-5291.99999999997,9.2680000000000007
-5291.8999999999696,9.2620000000000005
-5291.7999999999702,9.2569999999999997
-5291.6999999999698,9.2520000000000007
-5291.5999999999704,9.2469999999999999
-5291.49999999997,9.2420000000000009
-5291.3999999999696,9.2379999999999995
-5291.2999999999702,9.2330000000000005
-5291.1999999999698,9.2289999999999992
-5291.0999999999704,9.2240000000000002
-5290.99999999997,9.2289999999999992
-5290.8999999999696,9.2249999999999996
-5290.7999999999702,9.2200000000000006
-5290.6999999999698,9.2149999999999999
-5290.5999999999704,9.2110000000000003
-5290.49999999997,9.2070000000000007
-5290.3999999999696,9.202
-5290.2999999999602,9.1969999999999992
-5290.1999999999598,9.1920000000000002
-5290.0999999999603,9.1880000000000006
-5289.99999999996,9.1850000000000005
-5289.8999999999596,9.1780000000000008
-5289.7999999999602,9.1739999999999995
-5289.6999999999598,9.17
-5289.5999999999603,9.1660000000000004
-5289.49999999996,9.16
-5289.3999999999596,9.1560000000000006
-5289.2999999999602,9.1509999999999998
-5289.1999999999598,9.1489999999999991
-5289.0999999999603,9.1449999999999996
-5288.99999999996,9.14
-5288.8999999999596,9.1370000000000005
-5288.7999999999602,9.1329999999999991
-5288.6999999999598,9.1300000000000008
-5288.5999999999603,9.125
-5288.49999999996,9.1219999999999999
-5288.3999999999596,9.1159999999999997
-5288.2999999999602,9.1120000000000001
-5288.1999999999598,9.1069999999999993
-5288.0999999999603,9.1039999999999992
-5287.99999999996,9.1
-5287.8999999999596,9.093
-5287.7999999999602,9.09
-5287.6999999999598,9.0850000000000009
-5287.5999999999503,9.08
-5287.49999999995,9.0760000000000005
-5287.3999999999496,9.0719999999999992
-5287.2999999999502,9.0679999999999996
-5287.1999999999498,9.0660000000000007
-5287.0999999999503,9.0619999999999994
-5286.99999999995,9.0589999999999993
-5286.8999999999496,9.0549999999999997
-5286.7999999999502,9.0530000000000008
-5286.6999999999498,9.0589999999999993
-5286.5999999999503,9.0640000000000001
-5286.49999999995,9.0670000000000002
-5286.3999999999496,9.0690000000000008
-5286.2999999999502,9.0690000000000008
-5286.1999999999498,9.0640000000000001
-5286.0999999999503,9.0660000000000007
-5285.99999999995,9.0670000000000002
-5285.8999999999496,9.0739999999999998
-5285.7999999999502,9.0589999999999993
-5285.6999999999498,9.0719999999999992
-5285.5999999999503,9.0820000000000007
-5285.49999999995,9.0879999999999992
-5285.3999999999496,9.1020000000000003
-5285.2999999999502,9.1029999999999998
-5285.1999999999498,9.109
-5285.0999999999503,9.1150000000000002
-5284.99999999995,9.1199999999999992
-5284.8999999999496,9.125
-5284.7999999999402,9.1319999999999997
-5284.6999999999398,9.1359999999999992
-5284.5999999999403,9.1389999999999993
-5284.49999999994,9.14
-5284.3999999999396,9.14
-5284.2999999999402,9.14
-5284.1999999999398,9.1389999999999993
-5284.0999999999403,9.1389999999999993
-5283.99999999994,9.1379999999999999
-5283.8999999999396,9.1370000000000005
-5283.7999999999402,9.1359999999999992
-5283.6999999999398,9.1349999999999998
-5283.5999999999403,9.1340000000000003
-5283.49999999994,9.1329999999999991
-5283.3999999999396,9.1319999999999997
-5283.2999999999402,9.1319999999999997
-5283.1999999999398,9.1359999999999992
-5283.0999999999403,9.1349999999999998
-5282.99999999994,9.1349999999999998
-5282.8999999999396,9.1349999999999998
-5282.7999999999402,9.1340000000000003
-5282.6999999999398,9.1329999999999991
-5282.5999999999403,9.1329999999999991
-5282.49999999994,9.1329999999999991
-5282.3999999999396,9.1340000000000003
-5282.2999999999402,9.1340000000000003
-5282.1999999999398,9.1349999999999998
-5282.0999999999303,9.1359999999999992
-5281.99999999993,9.1379999999999999
-5281.8999999999296,9.1389999999999993
-5281.7999999999302,9.14
-5281.6999999999298,9.141
-5281.5999999999303,9.1430000000000007
-5281.49999999993,9.1440000000000001
-5281.3999999999296,9.1460000000000008
-5281.2999999999302,9.1479999999999997
-5281.1999999999298,9.1509999999999998
-5281.0999999999303,9.1530000000000005
-5280.99999999993,9.1560000000000006
-5280.8999999999296,9.1579999999999995
-5280.7999999999302,9.1609999999999996
-5280.6999999999298,9.1579999999999995
-5280.5999999999303,9.15
-5280.49999999993,9.14
-5280.3999999999296,9.1319999999999997
-5280.2999999999302,9.1270000000000007
-5280.1999999999298,9.1240000000000006
-5280.0999999999303,9.1219999999999999
-5279.99999999993,9.1210000000000004
-5279.8999999999296,9.1210000000000004
-5279.7999999999302,9.1210000000000004
-5279.6999999999298,9.1210000000000004
-5279.5999999999303,9.1210000000000004
-5279.49999999993,9.1219999999999999
-5279.3999999999296,9.1229999999999993
-5279.2999999999201,9.1199999999999992
-5279.1999999999198,9.1189999999999998
-5279.0999999999203,9.1229999999999993
-5278.99999999992,9.1329999999999991
-5278.8999999999196,9.1289999999999996
-5278.7999999999201,9.1259999999999994
-5278.6999999999198,9.1240000000000006
-5278.5999999999203,9.1229999999999993
-5278.49999999992,9.1219999999999999
-5278.3999999999196,9.1210000000000004
-5278.2999999999201,9.1210000000000004
-5278.1999999999198,9.1210000000000004
-5278.0999999999203,9.1210000000000004
-5277.99999999992,9.1210000000000004
-5277.8999999999196,9.1210000000000004
-5277.7999999999201,9.1219999999999999
-5277.6999999999198,9.1219999999999999
-5277.5999999999203,9.1229999999999993
-5277.49999999992,9.1229999999999993
-5277.3999999999196,9.1240000000000006
-5277.2999999999201,9.125
-5277.1999999999198,9.125
-5277.0999999999203,9.1259999999999994
-5276.99999999992,9.1280000000000001
-5276.8999999999196,9.1280000000000001
-5276.7999999999201,9.1289999999999996
-5276.6999999999198,9.1289999999999996
-5276.5999999999103,9.1300000000000008
-5276.49999999991,9.1300000000000008
-5276.3999999999096,9.1300000000000008
-5276.2999999999101,9.1300000000000008
-5276.1999999999098,9.1300000000000008
-5276.0999999999103,9.1289999999999996
-5275.99999999991,9.1289999999999996
-5275.8999999999096,9.1289999999999996
-5275.7999999999101,9.1280000000000001
-5275.6999999999098,9.1280000000000001
-5275.5999999999103,9.1270000000000007
-5275.49999999991,9.1270000000000007
-5275.3999999999096,9.1259999999999994
-5275.2999999999101,9.125
-5275.1999999999098,9.125
-5275.0999999999103,9.1240000000000006
-5274.99999999991,9.1219999999999999
-5274.8999999999096,9.1210000000000004
-5274.7999999999101,9.1199999999999992
-5274.6999999999098,9.1189999999999998
-5274.5999999999103,9.1180000000000003
-5274.49999999991,9.1170000000000009
-5274.3999999999096,9.1150000000000002
-5274.2999999999101,9.1140000000000008
-5274.1999999999098,9.1120000000000001
-5274.0999999999103,9.1110000000000007
-5273.99999999991,9.109
-5273.8999999999096,9.1080000000000005
-5273.7999999999001,9.1069999999999993
-5273.6999999998998,9.1050000000000004
-5273.5999999999003,9.1039999999999992
-5273.4999999999,9.1020000000000003
-5273.3999999998996,9.1
-5273.2999999999001,9.0969999999999995
-5273.1999999998998,9.0950000000000006
-5273.0999999999003,9.0920000000000005
-5272.9999999999,9.09
-5272.8999999998996,9.0869999999999997
-5272.7999999999001,9.0839999999999996
-5272.6999999998998,9.0820000000000007
-5272.5999999999003,9.0790000000000006
-5272.4999999999,9.0760000000000005
-5272.3999999998996,9.0730000000000004
-5272.2999999999001,9.0709999999999997
-5272.1999999998998,9.0609999999999999
-5272.0999999999003,9.0649999999999995
-5271.9999999999,9.0670000000000002
-5271.8999999998996,9.08
-5271.7999999999001,9.0850000000000009
-5271.6999999998998,9.0820000000000007
-5271.5999999999003,9.0909999999999993
-5271.4999999999,9.0790000000000006
-5271.3999999998996,9.0860000000000003
-5271.2999999999001,9.093
-5271.1999999998998,9.0950000000000006
-5271.0999999998903,9.0820000000000007
-5270.99999999989,9.0890000000000004
-5270.8999999998896,9.0809999999999995
-5270.7999999998901,9.0820000000000007
-5270.6999999998898,9.0839999999999996
-5270.5999999998903,9.077
-5270.49999999989,9.0890000000000004
-5270.3999999998896,9.0879999999999992
-5270.2999999998901,9.0890000000000004
-5270.1999999998898,9.0869999999999997
-5270.0999999998903,9.0890000000000004
-5269.99999999989,9.0869999999999997
-5269.8999999998896,9.0860000000000003
-5269.7999999998901,9.0850000000000009
-5269.6999999998898,9.0830000000000002
-5269.5999999998903,9.0820000000000007
-5269.49999999989,9.0809999999999995
-5269.3999999998896,9.0809999999999995
-5269.2999999998901,9.0820000000000007
-5269.1999999998898,9.08
-5269.0999999998903,9.08
-5268.99999999989,9.0809999999999995
-5268.8999999998896,9.0809999999999995
-5268.7999999998901,9.0820000000000007
-5268.6999999998898,9.0850000000000009
-5268.5999999998903,9.0860000000000003
-5268.49999999989,9.0869999999999997
-5268.3999999998896,9.0879999999999992
-5268.2999999998801,9.09
-5268.1999999998798,9.0909999999999993
-5268.0999999998803,9.0869999999999997
-5267.9999999998799,9.0839999999999996
-5267.8999999998796,9.0839999999999996
-5267.7999999998801,9.0839999999999996
-5267.6999999998798,9.0839999999999996
-5267.5999999998803,9.0830000000000002
-5267.4999999998799,9.0879999999999992
-5267.3999999998796,9.0990000000000002
-5267.2999999998801,9.0950000000000006
-5267.1999999998798,9.093
-5267.0999999998803,9.0879999999999992
-5266.9999999998799,9.0830000000000002
-5266.8999999998796,9.0809999999999995
-5266.7999999998801,9.0749999999999993
-5266.6999999998798,9.0719999999999992
-5266.5999999998803,9.0679999999999996
-5266.4999999998799,9.0670000000000002
-5266.3999999998796,9.0670000000000002
-5266.2999999998801,9.0690000000000008
-5266.1999999998798,9.0660000000000007
-5266.0999999998803,9.0709999999999997
-5265.9999999998799,9.0679999999999996
-5265.8999999998796,9.0730000000000004
-5265.7999999998801,9.07
-5265.6999999998798,9.077
-5265.5999999998703,9.0749999999999993
-5265.4999999998699,9.0779999999999994
-5265.3999999998696,9.0749999999999993
-5265.2999999998701,9.0739999999999998
-5265.1999999998698,9.0690000000000008
-5265.0999999998703,9.0630000000000006
-5264.9999999998699,9.06
-5264.8999999998696,9.0579999999999998
-5264.7999999998701,9.0519999999999996
-5264.6999999998698,9.0440000000000005
-5264.5999999998703,9.0370000000000008
-5264.4999999998699,9.0229999999999997
-5264.3999999998696,9.0129999999999999
-5264.2999999998701,9.0050000000000008
-5264.1999999998698,8.9990000000000006
-5264.0999999998703,8.9939999999999998
-5263.9999999998699,8.99
-5263.8999999998696,8.9870000000000001
-5263.7999999998701,8.9830000000000005
-5263.6999999998698,8.9779999999999998
-5263.5999999998703,8.9740000000000002
-5263.4999999998699,8.9710000000000001
-5263.3999999998696,8.9689999999999994
-5263.2999999998701,8.9670000000000005
-5263.1999999998698,8.9649999999999999
-5263.0999999998703,8.9649999999999999
-5262.9999999998699,8.9649999999999999
-5262.8999999998696,8.9640000000000004
-5262.7999999998601,8.9649999999999999
-5262.6999999998598,8.9649999999999999
-5262.5999999998603,8.9640000000000004
-5262.4999999998599,8.9640000000000004
-5262.3999999998596,8.9619999999999997
-5262.2999999998601,8.9610000000000003
-5262.1999999998598,8.9570000000000007
-5262.0999999998603,8.9540000000000006
-5261.9999999998599,8.9510000000000005
-5261.8999999998596,8.9489999999999998
-5261.7999999998601,8.9450000000000003
-5261.6999999998598,8.9410000000000007
-5261.5999999998603,8.9380000000000006
-5261.4999999998599,8.9369999999999994
-5261.3999999998596,8.9339999999999993
-5261.2999999998601,8.9329999999999998
-5261.1999999998598,8.9380000000000006
-5261.0999999998603,8.9380000000000006
-5260.9999999998599,8.9380000000000006
-5260.8999999998596,8.9390000000000001
-5260.7999999998601,8.9380000000000006
-5260.6999999998598,8.94
-5260.5999999998603,8.9390000000000001
-5260.4999999998599,8.9380000000000006
-5260.3999999998596,8.9390000000000001
-5260.2999999998601,8.9390000000000001
-5260.1999999998598,8.94
-5260.0999999998503,8.94
-5259.9999999998499,8.9410000000000007
-5259.8999999998496,8.9410000000000007
-5259.7999999998501,8.9369999999999994
-5259.6999999998498,8.9290000000000003
-5259.5999999998503,8.9239999999999995
-5259.4999999998499,8.9209999999999994
-5259.3999999998496,8.9160000000000004
-5259.2999999998501,8.9149999999999991
-5259.1999999998498,8.9120000000000008
-5259.0999999998503,8.91
-5258.9999999998499,8.9130000000000003
-5258.8999999998496,8.9109999999999996
-5258.7999999998501,8.9079999999999995
-5258.6999999998498,8.9160000000000004
-5258.5999999998503,8.9060000000000006
-5258.4999999998499,8.8989999999999991
-5258.3999999998496,8.8930000000000007
-5258.2999999998501,8.8879999999999999
-5258.1999999998498,8.8829999999999991
-5258.0999999998503,8.8810000000000002
-5257.9999999998499,8.8740000000000006
-5257.8999999998496,8.8740000000000006
-5257.7999999998501,8.8659999999999997
-5257.6999999998498,8.859
-5257.5999999998503,8.8490000000000002
-5257.4999999998499,8.8490000000000002
-5257.3999999998496,8.84
-5257.2999999998401,8.8350000000000009
-5257.1999999998397,8.8309999999999995
-5257.0999999998403,8.8239999999999998
-5256.9999999998399,8.82
-5256.8999999998396,8.8160000000000007
-5256.7999999998401,8.81
-5256.6999999998397,8.8070000000000004
-5256.5999999998403,8.8030000000000008
-5256.4999999998399,8.8010000000000002
-5256.3999999998396,8.7940000000000005
-5256.2999999998401,8.7899999999999991
-5256.1999999998397,8.7829999999999995
-5256.0999999998403,8.7780000000000005
-5255.9999999998399,8.7680000000000007
-5255.8999999998396,8.7590000000000003
-5255.7999999998401,8.7509999999999994
-5255.6999999998397,8.7569999999999997
-5255.5999999998403,8.7560000000000002
-5255.4999999998399,8.7479999999999993
-5255.3999999998396,8.7390000000000008
-5255.2999999998401,8.7309999999999999
-5255.1999999998397,8.73
-5255.0999999998403,8.7219999999999995
-5254.9999999998399,8.718
-5254.8999999998396,8.7110000000000003
-5254.7999999998401,8.7080000000000002
-5254.6999999998397,8.7040000000000006
-5254.5999999998303,8.6989999999999998
-5254.4999999998299,8.6940000000000008
-5254.3999999998296,8.69
-5254.2999999998301,8.6880000000000006
-5254.1999999998297,8.6829999999999998
-5254.0999999998303,8.6790000000000003
-5253.9999999998299,8.6809999999999992
-5253.8999999998296,8.68
-5253.7999999998301,8.6769999999999996
-5253.6999999998297,8.6790000000000003
-5253.5999999998303,8.6780000000000008
-5253.4999999998299,8.6709999999999994
-5253.3999999998296,8.673
-5253.2999999998301,8.6720000000000006
-5253.1999999998297,8.6630000000000003
-5253.0999999998303,8.6669999999999998
-5252.9999999998299,8.6630000000000003
-5252.8999999998296,8.6590000000000007
-5252.7999999998301,8.6590000000000007
-5252.6999999998297,8.6579999999999995
-5252.5999999998303,8.65
-5252.4999999998299,8.6519999999999992
-5252.3999999998296,8.6509999999999998
-5252.2999999998301,8.6440000000000001
-5252.1999999998297,8.6460000000000008
-5252.0999999998303,8.641
-5251.9999999998299,8.6359999999999992
-5251.8999999998296,8.6379999999999999
-5251.7999999998201,8.6340000000000003
-5251.6999999998197,8.6289999999999996
-5251.5999999998203,8.6259999999999994
-5251.4999999998199,8.6270000000000007
-5251.3999999998196,8.6259999999999994
-5251.2999999998201,8.6219999999999999
-5251.1999999998197,8.6180000000000003
-5251.0999999998203,8.6170000000000009
-5250.9999999998199,8.6170000000000009
-5250.8999999998196,8.6129999999999995
-5250.7999999998201,8.6129999999999995
-5250.6999999998197,8.609
-5250.5999999998203,8.6059999999999999
-5250.4999999998199,8.6059999999999999
-5250.3999999998196,8.6010000000000009
-5250.2999999998201,8.5960000000000001
-5250.1999999998197,8.5980000000000008
-5250.0999999998203,8.5950000000000006
-5249.9999999998199,8.5920000000000005
-5249.8999999998196,8.593
-5249.7999999998201,8.5890000000000004
-5249.6999999998197,8.5820000000000007
-5249.5999999998203,8.5830000000000002
-5249.4999999998199,8.5779999999999994
-5249.3999999998196,8.577
-5249.2999999998201,8.5760000000000005
-5249.1999999998197,8.5730000000000004
-5249.0999999998103,8.5709999999999997
-5248.9999999998099,8.5660000000000007
-5248.8999999998096,8.5630000000000006
-5248.7999999998101,8.5609999999999999
-5248.6999999998097,8.5589999999999993
-5248.5999999998103,8.5540000000000003
-5248.4999999998099,8.5530000000000008
-5248.3999999998096,8.5519999999999996
